ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Depositado em caçamba de serviço de limpeza,45 a 49 anos,Preta,690
2022,2913606,Depositado em caçamba de serviço de limpeza,15 a 19 anos,Preta,693
2022,2913606,Queimado na propriedade,0 a 4 anos,Preta,120
2022,2913606,Outro destino,40 a 44 anos,Preta,36
2022,2913606,Coletado,45 a 49 anos,Preta,2684
2022,2913606,Coletado,50 a 54 anos,Preta,2399
2022,2913606,Depositado em caçamba de serviço de limpeza,95 a 99 anos,Preta,8
2022,2913606,Queimado na propriedade,55 a 59 anos,Preta,194
2022,2913606,Depositado em caçamba de serviço de limpeza,90 a 94 anos,Preta,17
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",90 a 94 anos,Branca,
2022,2913606,Coletado no domicílio por serviço de limpeza,20 a 24 anos,Branca,1603
2022,2913606,Outro destino,65 a 69 anos,Branca,7
2022,2913606,Coletado no domicílio por serviço de limpeza,75 a 79 anos,Branca,635
2022,2913606,Queimado na propriedade,90 a 94 anos,Branca,6
2022,2913606,Depositado em caçamba de serviço de limpeza,45 a 49 anos,Branca,305
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",75 a 79 anos,Branca,4
2022,2913606,Outro destino,70 a 74 anos,Branca,5
2022,2913606,Outro destino,90 a 94 anos,Amarela,
2022,2913606,Queimado na propriedade,50 a 54 anos,Amarela,1
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",35 a 39 anos,Amarela,1
2022,2913606,Queimado na propriedade,90 a 94 anos,Amarela,
2022,2913606,Coletado no domicílio por serviço de limpeza,50 a 54 anos,Amarela,13
2022,2913606,Depositado em caçamba de serviço de limpeza,65 a 69 anos,Amarela,
2022,2913606,Coletado,5 a 9 anos,Amarela,19
2022,2913606,Outro destino,55 a 59 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,90 a 94 anos,Amarela,
2022,2913606,Queimado na propriedade,5 a 9 anos,Amarela,
2022,2913606,Enterrado na propriedade,45 a 49 anos,Indígena,5
2022,2913606,Coletado no domicílio por serviço de limpeza,75 a 79 anos,Indígena,51
2022,2913606,Enterrado na propriedade,25 a 29 anos,Indígena,3
2022,2913606,Enterrado na propriedade,80 a 84 anos,Indígena,2
2022,2913606,Outro destino,25 a 29 anos,Indígena,5
2022,2913606,Outro destino,0 a 4 anos,Indígena,4
2022,2913606,Outro destino,30 a 34 anos,Indígena,3
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",85 a 89 anos,Indígena,1
2022,2913606,Queimado na propriedade,75 a 79 anos,Indígena,60
2022,2913606,Queimado na propriedade,100 anos ou mais,Indígena,
2022,2913606,Coletado no domicílio por serviço de limpeza,100 anos ou mais,Indígena,1
2022,2913606,Coletado,20 a 24 anos,Indígena,316
2022,2913606,Coletado no domicílio por serviço de limpeza,10 a 14 anos,Indígena,222
2022,2913606,Queimado na propriedade,30 a 34 anos,Indígena,200
2022,2913606,Coletado no domicílio por serviço de limpeza,30 a 34 anos,Indígena,188
2022,2913606,Coletado,0 a 4 anos,Branca,2003
2022,2913606,Coletado,0 a 4 anos,Indígena,281
2022,2913606,Coletado,10 a 14 anos,Indígena,335
2022,2913606,Coletado,20 a 24 anos,Preta,3138
2022,2913606,Coletado,25 a 29 anos,Amarela,15
2022,2913606,Coletado,25 a 29 anos,Branca,1835
2022,2913606,Coletado,40 a 44 anos,Parda,7460
2022,2913606,Coletado,45 a 49 anos,Indígena,315
2022,2913606,Coletado,50 a 54 anos,Amarela,19
2022,2913606,Coletado,55 a 59 anos,Indígena,244
2022,2913606,Coletado,60 a 64 anos,Parda,4906
2022,2913606,Coletado,80 a 84 anos,Parda,1015
2022,2913606,Coletado,80 a 84 anos,Amarela,7
2022,2913606,Coletado,85 a 89 anos,Parda,554
2022,2913606,Coletado,95 a 99 anos,Parda,71
2022,2913606,Coletado,100 anos ou mais,Indígena,1
2022,2913606,Outro destino,10 a 14 anos,Indígena,5
