id_municipio,populacao_residente,area_unidade_territorial
2302107,35218,314
4108700,5641,314
2515302,51306,314
3303856,29619,314
2917102,16617,314
2611705,20639,314
3125507,3032,314
4110805,10684,570
3527108,74779,570
3151404,26685,570
2101731,8460,570
5208509,4973,570
4103107,13299,826
2401453,26913,826
3154309,17226,1082
2913705,33790,1082
3147907,111939,1338
3108206,5528,1850
2608750,24088,1850
3148103,89826,2874
2920452,13919,3130
4322251,5029,59
2504108,2312,59
4125308,5168,315
2510303,4259,315
2708808,31786,315
3527405,20061,315
4301206,12058,315
5003801,20609,315
4214409,6253,315
2510501,3580,315
4313102,5586,315
3554706,9335,315
2925204,32136,315
3549607,3853,571
4114500,14240,571
3120870,7406,571
2107209,14176,571
3303708,42063,571
5209150,4390,827
2302701,25135,1083
3148707,24410,1595
3162401,23930,1851
1706100,6371,1851
1709302,24775,2107
4301958,2498,60
5215801,2259,60
2505501,3641,60
3500501,17930,60
3122504,4904,60
3146701,5707,316
2313757,17470,316
2200954,2690,316
2802809,16549,316
2700706,16448,316
4312104,4698,316
4300307,6123,316
3540408,4127,316
3165008,11192,572
2202406,11100,572
2205003,10790,828
3169307,75485,828
1721208,22615,1084
3117306,28381,1340
3109600,3693,61
4213005,3473,61
5221858,198861,61
4323804,16463,61
4305587,2423,61
4303905,62886,61
4119152,127019,61
3160959,5626,61
3543709,9098,317
3506607,29683,317
3150000,3570,317
2103901,10223,317
3161205,6187,317
3122454,10213,573
2913101,16969,573
5208301,4457,829
5003454,13663,829
5105622,26785,1085
2209708,5392,1341
4105201,16134,1341
2302206,53114,1597
2104107,12640,1853
2106607,32174,2109
1100130,30707,8509
3519071,236641,62
2609105,11333,62
3529401,418261,62
4313060,20088,62
2515971,8236,62
2401800,12202,62
3165537,36844,62
1712009,3357,318
3151602,11145,318
3124203,24102,318
2604700,17131,318
2506707,10392,318
2912905,18792,318
2307809,25799,574
3515350,7924,574
4307401,3195,830
2306603,20424,830
2314003,38984,830
3130705,6171,830
5220108,33852,830
4125605,42366,1342
2112407,37491,2622
3554755,1682,63
4220000,15981,63
4210407,7815,63
2404002,4122,63
2803807,3579,63
3540853,2578,63
4213153,2946,63
4301859,3161,63
4310801,22983,63
3518800,1291771,319
3535200,8903,319
2615201,8920,319
3501103,3841,319
2409308,11007,319
3557154,2692,319
2914604,74507,319
3542008,7038,319
2210052,4841,319
4213302,4437,575
3116100,10337,831
2923605,20351,1087
5004502,24137,1343
3143104,47692,1343
4302303,11202,2623
1101757,7788,3135
5003256,26037,4159
2909901,34180,5951
1600279,35114,30783
4202537,2777,64
4323770,3098,64
4318481,4447,64
4311643,1683,64
2515708,2942,64
2901601,14206,320
2103125,7094,320
2707602,11080,320
3119203,10884,576
4107009,13647,576
2400307,10839,576
1101708,10725,832
5200829,3268,1344
2306405,131123,1600
3109204,9150,1600
2921203,24661,1600
4205191,2269,65
4213906,1689,65
4209458,1702,65
2515906,4885,65
3534401,728615,65
4211405,5155,65
4322558,2004,65
3142205,13633,321
4123808,14070,321
4112900,3333,321
3502408,4023,321
3127057,4345,321
4127205,17568,321
2911006,11059,321
3528502,93853,321
3203304,12770,321
2208007,83090,577
2510907,11834,577
2511301,16441,577
2516300,17166,833
5103957,2905,833
3532306,6999,833
2205607,5213,1089
3125903,9590,1089
5105002,8367,1345
4119400,23651,1345
1502772,19950,2369
2208304,28846,2369
2923704,29252,2625
5206404,17065,4673
5106216,11707,5953
2918407,237821,6721
5106224,55839,9537
1300631,20718,17473
3505708,316473,66
2607604,24540,66
2701357,6665,66
3519055,15094,66
4306403,30709,66
2511608,6815,66
3523404,121590,322
4108320,8116,322
2916906,10999,322
3519204,6131,322
3114105,13797,322
2500304,26062,322
2930600,13335,322
3115805,10207,322
4120655,4201,322
2106003,11297,322
2309508,19675,578
2516102,13968,578
3111002,20696,578
4121752,6553,834
2401008,36093,1602
5107776,7596,6466
2700805,4722,67
3150539,4706,67
3150307,4604,323
4125803,8690,323
3510401,50068,323
4103206,6581,323
2403756,2938,323
4300208,6720,323
3306008,78346,323
4111258,31217,323
5210307,2560,579
4308409,6413,579
2308302,25900,579
2104206,16976,835
1702158,4310,835
2925956,19662,1091
2207850,3628,1091
1506559,20370,1347
1301159,19637,2627
3111101,18011,3651
1711902,15288,10563
2806503,3937,68
4208955,1776,68
2205540,2939,68
3129905,3365,68
4311429,2601,68
4314753,2171,68
3159357,6773,68
4202578,2187,68
4314456,2959,68
4116059,11064,324
3159407,3301,324
3513009,274413,324
1504109,8115,324
3556008,13744,324
4309050,7658,324
2910859,17897,580
2906204,24206,580
4105003,10446,580
2201739,6220,580
2510402,6060,580
2908705,17053,1348
2308500,37735,2116
5002407,30612,2116
4315305,23500,3140
2101608,84532,5188
1303403,96372,5956
2414159,5891,69
3503950,1842,69
2613404,18825,69
4209201,2248,69
4305173,9178,325
2504702,4933,325
3517505,21711,325
2202729,6386,325
2806305,13616,325
3526902,291869,581
2504405,18260,581
2913408,15527,837
4123857,9934,837
3521804,25180,1093
3101102,25269,1349
4100202,6256,1349
2900207,17639,1605
5105903,15492,3909
5005806,13220,3909
3122900,6093,70
3515004,250691,70
2608453,17981,70
2509156,6705,70
3149002,2757,70
4312385,2557,70
3537602,68352,326
4124400,23673,326
4300505,7117,326
4208807,20375,326
4207809,10195,326
4107546,4797,326
4124020,13174,326
4121109,5001,326
3502002,4589,326
3532405,18217,326
3204005,18893,838
2606903,11081,838
2303501,72720,838
3157005,40178,1862
5217104,24883,2374
4302907,11157,2374
1304401,23945,2886
4322400,117210,5702
2512408,14277,71
4204251,17240,71
4306924,1296,71
3171204,129246,71
3554656,2046,71
3510104,2889,71
3300233,40006,71
3508108,17210,327
2610509,28340,327
3171709,8908,327
3539707,3025,327
4128559,8215,327
3203809,13745,327
4200606,6743,327
4104451,10933,583
2930501,80435,583
2209104,5831,583
2111300,1037775,583
3526001,20448,583
4308300,9550,583
3144607,25018,583
4305009,8674,583
2306009,14001,839
5007703,10994,839
1507607,52894,1095
5215603,34967,3143
5103502,21941,8263
1506708,32413,11591
2407906,2276,72
2414753,3014,72
3153905,16279,72
2513653,2539,72
2603504,17419,72
3162922,34348,72
4300604,187315,72
4310363,3080,72
3129806,170537,72
2705804,8349,328
4322533,9897,328
3528205,3963,328
3203353,12387,328
2513356,3227,328
2206670,6425,328
5209804,3545,584
5220157,4837,584
2307700,105093,584
2905800,30469,840
3146552,5551,840
2402303,19727,1096
3155504,14532,1352
2906808,37439,1352
1503077,24703,1608
5205901,9164,1864
3156304,8664,73
4217154,1781,73
2300606,6782,73
2601508,10378,73
4215695,1651,73
2414704,5233,73
4305157,2379,73
4115804,54369,329
