id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Idade presumida,Mulheres,13 anos,13.0,10 a 14 anos,199
2913606,Data de nascimento,Mulheres,13 anos,13.0,10 a 14 anos,977
2913606,Idade presumida,Homens,14 anos,14.0,10 a 14 anos,254
2913606,Data de nascimento,Mulheres,16 anos,16.0,15 a 19 anos,1059
2913606,Idade presumida,Homens,18 anos,18.0,15 a 19 anos,298
2913606,Idade presumida,Mulheres,19 anos,19.0,15 a 19 anos,212
2913606,Data de nascimento,Mulheres,2 meses,0.16666666666666666,0 a 4 anos,76
2913606,Data de nascimento,Mulheres,20 anos,20.0,20 a 24 anos,1043
2913606,Data de nascimento,Mulheres,21 anos,21.0,20 a 24 anos,1097
2913606,Data de nascimento,Mulheres,25 anos,25.0,25 a 29 anos,1133
2913606,Data de nascimento,Homens,25 anos,25.0,25 a 29 anos,953
2913606,Data de nascimento,Mulheres,26 anos,26.0,25 a 29 anos,1115
2913606,Idade presumida,Mulheres,28 anos,28.0,25 a 29 anos,200
2913606,Data de nascimento,Homens,28 anos,28.0,25 a 29 anos,976
2913606,Idade presumida,Homens,30 anos,30.0,30 a 34 anos,347
2913606,Idade presumida,Mulheres,32 anos,32.0,30 a 34 anos,220
2913606,Idade presumida,Homens,33 anos,33.0,30 a 34 anos,259
2913606,Idade presumida,Mulheres,36 anos,36.0,35 a 39 anos,270
2913606,Idade presumida,Homens,36 anos,36.0,35 a 39 anos,241
2913606,Idade presumida,Homens,38 anos,38.0,35 a 39 anos,292
2913606,Idade presumida,Mulheres,40 anos,40.0,40 a 44 anos,384
2913606,Data de nascimento,Homens,40 anos,40.0,40 a 44 anos,1171
2913606,Data de nascimento,Homens,43 anos,43.0,40 a 44 anos,1105
2913606,Data de nascimento,Mulheres,44 anos,44.0,40 a 44 anos,1288
2913606,Data de nascimento,Homens,44 anos,44.0,40 a 44 anos,1061
2913606,Data de nascimento,Mulheres,45 anos,45.0,45 a 49 anos,1158
2913606,Idade presumida,Homens,46 anos,46.0,45 a 49 anos,190
2913606,Data de nascimento,Homens,47 anos,47.0,45 a 49 anos,928
2913606,Idade presumida,Mulheres,49 anos,49.0,45 a 49 anos,183
2913606,Data de nascimento,Mulheres,5 meses,0.41666666666666669,0 a 4 anos,65
2913606,Idade presumida,Homens,52 anos,52.0,50 a 54 anos,239
2913606,Idade presumida,Mulheres,53 anos,53.0,50 a 54 anos,199
2913606,Idade presumida,Homens,53 anos,53.0,50 a 54 anos,196
2913606,Data de nascimento,Homens,54 anos,54.0,50 a 54 anos,837
2913606,Data de nascimento,Mulheres,58 anos,58.0,55 a 59 anos,910
2913606,Idade presumida,Mulheres,59 anos,59.0,55 a 59 anos,147
2913606,Idade presumida,Mulheres,60 anos,60.0,60 a 64 anos,227
2913606,Data de nascimento,Homens,61 anos,61.0,60 a 64 anos,728
